,Labels,First Fit Score,First Fit Times,First Fit Decreasing Score,First Fit Decreasing Times,Next Fit Score,Next Fit Times,Next Fit Decreasing Score,Next Fit Decreasing Times,Best Fit Score,Best Fit Times,Best Fit Decreasing Score,Best Fit Decreasing Times,Djang-Fitch Score,Djang-Fitch Times,Djang-Fitch 2 Score,Djang-Fitch 2 Times
804,"(0, 1, 1, 28, 9, 3, 18)",0.5116941295541999,0.136709,0.5649555653174,116437000,0.36993268652249994,0.135836,0.5262303052362001,0.10503100000000001,0.5164533730758,0.398309,0.5671243451494,0.410254,0.5649555653174,0.820558,0.5649555653174,0.6316900000000001
805,"(0, 0, 4, 26, 8, 10, 12)",0.4638066006935,0.155113,0.5385201517191666,113807000,0.3702402340398572,0.148895,0.4636369589301666,0.11252500000000001,0.4703398659091666,0.34569700000000003,0.5392666188831666,0.374298,0.5385201517191666,0.811902,0.5385201517191666,0.605356
806,"(0, 0, 2, 28, 4, 11, 15)",0.3611049822218,0.127925,0.57444561646125,118966000,0.3412705738086,0.14116700000000001,0.5177528012642499,0.129473,0.36275360964900005,0.582827,0.57444561646125,0.288117,0.57444561646125,0.7304970000000001,0.57444561646125,0.48118400000000006
807,"(0, 1, 1, 28, 6, 4, 20)",0.29877621864649995,0.16090400000000002,0.5290383596580001,98601000,0.3009107152995,0.13565100000000002,0.5121159275913333,0.10189300000000001,0.31078945603249997,0.52617,0.37326752319849993,0.40107400000000004,0.5290383596580001,0.850527,0.5290383596580001,1.0796670000000002
808,"(0, 0, 3, 27, 7, 4, 19)",0.2951742682988,0.143552,0.5258851797504999,104520000,0.30233411640599994,0.146049,0.4811456971505,0.139519,0.32093142199319996,0.427991,0.5549713142235,0.44261500000000004,0.5258851797504999,0.754978,0.5258851797504999,0.8337370000000001
809,"(0, 0, 2, 28, 5, 8, 17)",0.4447989384398,0.131058,0.47760908947099995,126152000,0.43644252219220003,0.11979300000000001,0.43900856858859993,0.116345,0.45647307654419994,0.381191,0.47760908947099995,0.309286,0.47760908947099995,0.7968510000000001,0.47760908947099995,0.5880610000000001
810,"(0, 2, 2, 26, 9, 8, 13)",0.34648055174066666,0.140013,0.5317727299395999,108578000,0.3177986170093333,0.145284,0.34984116768699997,0.144024,0.353780098229,0.44927100000000003,0.5266282864396,0.48233800000000004,0.5317727299395999,0.790765,0.5317727299395999,0.820574
811,"(0, 3, 4, 23, 7, 10, 13)",0.37892902543285706,0.13045900000000002,0.39751670593428573,107589000,0.29315898326724993,0.13454000000000002,0.40149200469314283,0.103052,0.3835454713,0.39232700000000004,0.4072783831502857,0.872533,0.39751670593428573,0.8573980000000001,0.39751670593428573,2.551644
812,"(0, 0, 2, 28, 6, 7, 17)",0.406081166319,0.128115,0.64777702899375,109192000,0.3058605330625,0.13356300000000002,0.64330782366375,0.09456500000000001,0.412180891291,0.321541,0.6458043106952499,0.389023,0.64777702899375,0.8587600000000001,0.64777702899375,0.555029
813,"(0, 1, 1, 28, 6, 7, 17)",0.3237906063018,0.141105,0.51127621170075,98746000,0.23097290582916666,0.152585,0.48862235458725,0.10878900000000001,0.3190193430798,0.387606,0.51127621170075,0.44162500000000005,0.51127621170075,0.8538800000000001,0.51127621170075,0.915348
814,"(0, 0, 2, 28, 5, 13, 12)",0.39879684919540004,0.13392,0.4564301532034,108723000,0.2644305304478333,0.132963,0.5643278045142499,0.10655,0.3781752789006,0.36892400000000003,0.4565903794834,0.327367,0.4564301532034,0.9261440000000001,0.4564301532034,0.6829230000000001
815,"(0, 2, 1, 27, 5, 7, 18)",0.5021372351632001,0.136607,0.53976168534,121317000,0.5028775032184,0.13055,0.506159412662,0.131274,0.38043431739566663,0.479362,0.5400428322899999,0.521713,0.53976168534,1.020237,0.53976168534,1.096751
816,"(0, 2, 2, 26, 8, 11, 11)",0.33351490982366666,0.16417700000000002,0.5491241869219999,104042000,0.18809054402800002,0.13908500000000001,0.49000372596399994,0.131716,0.3348137808156666,0.300375,0.5611033702016,0.432696,0.5491241869219999,0.866728,0.5491241869219999,1.097363
817,"(0, 1, 3, 26, 9, 11, 10)",0.32327910824914285,0.13802,0.5952555780639999,120289000,0.43905877880166666,0.12210700000000001,0.34494190118885715,0.130575,0.33317912885142864,0.304811,0.5952555780639999,0.333579,0.5952555780639999,0.853091,0.5952555780639999,0.7058840000000001
818,"(0, 0, 4, 26, 9, 8, 13)",0.5547587801764,0.16018400000000002,0.5713328357963999,106786000,0.4025540656266666,0.13622,0.5555781996732001,0.119201,0.5582585533676,0.34932,0.5746347545456,0.331125,0.5713328357963999,0.6974950000000001,0.5713328357963999,0.8286680000000001
819,"(0, 2, 4, 24, 8, 10, 12)",0.34069899190171427,0.144315,0.5027304473116666,120146000,0.3311246170025714,0.13270200000000001,0.6331401294824,0.11258800000000001,0.3412015601637143,0.290945,0.48902227173633334,0.45428700000000005,0.5027304473116666,0.9579840000000001,0.5027304473116666,1.2288780000000001
820,"(0, 0, 2, 28, 6, 7, 17)",0.4401037098265,0.133937,0.4504679898295,116360000,0.41906154643050003,0.14183300000000001,0.42018221869649997,0.11547400000000001,0.4204343852875,0.258677,0.4504679898295,0.333224,0.4504679898295,0.755982,0.4504679898295,0.6136670000000001
821,"(0, 4, 4, 22, 10, 8, 12)",0.460331091935,0.14625000000000002,0.4888825207044286,105797000,0.360575022245625,0.13091,0.4840725779758572,0.11356200000000001,0.4733944430584286,0.37721400000000005,0.48927019826642854,0.638869,0.4888825207044286,0.9729970000000001,0.4888825207044286,2.35765
822,"(0, 1, 1, 28, 4, 12, 14)",0.42311975148,0.138464,0.5087258549816001,99411000,0.42365232219000004,0.13772,0.5173718289228,0.10834600000000001,0.4324490492080001,0.435049,0.5089312581191999,0.43234100000000003,0.5087258549816001,0.850256,0.5087258549816001,0.6931130000000001
823,"(0, 3, 1, 26, 10, 9, 11)",0.5023995646383334,0.135584,0.581858032464,101492000,0.400241756242,0.12732200000000002,0.561207194362,0.132672,0.5086700171153334,0.351636,0.591800636937,0.42568500000000004,0.581858032464,0.83277,0.581858032464,0.7775380000000001
824,"(0, 1, 2, 27, 8, 6, 16)",0.4370541815156,0.11850100000000001,0.6136346616465002,98236000,0.3837837111752001,0.138247,0.3820268064336,0.123004,0.44605179872520007,0.302203,0.6125797947585001,0.329282,0.6136346616465002,0.902008,0.6136346616465002,0.734765
825,"(0, 0, 2, 28, 4, 10, 16)",0.46168573526275,0.144547,0.5501460475552501,111089000,0.3306678769126001,0.13353600000000002,0.46520362792725,0.09682900000000001,0.46168573526275,0.321494,0.5501460475552501,0.29958100000000004,0.5501460475552501,0.8564200000000001,0.5501460475552501,0.480335
826,"(0, 0, 1, 29, 3, 8, 19)",0.43752873724350005,0.132409,0.46300746930649994,118844000,0.40391908496249995,0.113822,0.42251265438450003,0.13531200000000002,0.39068124767650003,0.313232,0.46300746930649994,0.31566,0.46300746930649994,0.798458,0.46300746930649994,0.530096
827,"(0, 0, 4, 26, 10, 8, 12)",0.41851384149680004,0.133964,0.6585614646715,108773000,0.29438776812466666,0.13314800000000002,0.4274970406056,0.125219,0.4290303233448,0.346826,0.6585614646715,0.38245100000000004,0.6585614646715,0.894518,0.6585614646715,1.028295
828,"(0, 1, 5, 24, 8, 6, 16)",0.4419167572855,0.11230000000000001,0.5835511222806,106542000,0.39891855716850005,0.12871100000000002,0.5499692260002,0.10705600000000001,0.4437290378031667,0.353043,0.5835511222806,0.49272800000000005,0.5835511222806,0.9305500000000001,0.5835511222806,1.634252
829,"(0, 0, 1, 29, 3, 4, 23)",0.484677081554,0.12776600000000002,0.5142337123373334,111761000,0.45239838006,0.132832,0.4534302798113334,0.114541,0.484677081554,0.364758,0.5142337123373334,0.283855,0.5142337123373334,0.636969,0.5142337123373334,0.525128
830,"(0, 1, 2, 27, 4, 5, 21)",0.4526498186725,0.13906400000000002,0.7100337502246666,108267000,0.4034433340325,0.137181,0.5048909142785001,0.12094400000000001,0.4525013580625,0.33794,0.5247715111125001,0.383666,0.7100337502246666,0.9287120000000001,0.7100337502246666,0.9513670000000001
831,"(0, 1, 1, 28, 6, 9, 15)",0.49193565840279996,0.12212300000000001,0.5153617438992,126694000,0.50036701601,0.129092,0.48975505382960005,0.12187500000000001,0.495595602686,0.30856100000000003,0.5351566911172,0.30492800000000003,0.5153617438992,0.8385210000000001,0.5153617438992,0.6371760000000001
832,"(0, 1, 6, 23, 9, 3, 18)",0.507742710399,0.11859700000000001,0.5767475071438,121987000,0.2587139253104285,0.13723000000000002,0.5733395406774,0.129952,0.5078957660918,0.37680600000000003,0.5856064239758,0.358545,0.5767475071438,0.6734990000000001,0.5767475071438,1.256253
833,"(0, 1, 1, 28, 7, 8, 15)",0.3274576487534,0.148907,0.50407184595925,88015000,0.2969836580013999,0.147899,0.45865105883675,0.104899,0.34056190025780003,0.32022,0.50407184595925,0.33992900000000004,0.50407184595925,0.8948020000000001,0.50407184595925,0.575215
834,"(0, 0, 0, 30, 8, 6, 16)",0.46587602466675,0.161223,0.5479716880227501,117043000,0.22857136124983332,0.146356,0.47395886609225,0.131328,0.46587602466675,0.330278,0.55244966311475,0.39006,0.5479716880227501,0.743407,0.5479716880227501,0.49009300000000006
835,"(0, 3, 2, 25, 6, 7, 17)",0.45389359199083334,0.13106600000000002,0.6371149283090001,114213000,0.351919770913857,0.12795600000000001,0.45846026630983333,0.126391,0.44930893407283334,0.38497800000000004,0.5268487036198334,0.353837,0.6371149283090001,0.8819640000000001,0.6371149283090001,0.9740530000000001
836,"(0, 0, 1, 29, 8, 4, 18)",0.421824435146,0.134028,0.46644677245750005,117819000,0.2833749226612,0.147575,0.4254144241955,0.127772,0.421824435146,0.37290700000000004,0.46644677245750005,0.38683100000000004,0.46644677245750005,0.876295,0.46644677245750005,0.630708
