,Labels,First Fit Score,First Fit Times,First Fit Decreasing Score,First Fit Decreasing Times,Next Fit Score,Next Fit Times,Next Fit Decreasing Score,Next Fit Decreasing Times,Best Fit Score,Best Fit Times,Best Fit Decreasing Score,Best Fit Decreasing Times,Djang-Fitch Score,Djang-Fitch Times
247,"(0, 2, 2, 26, 11, 4, 15)",0.33518620772300006,129559000,0.669229418747,106283000,0.3209556468136667,139934000,0.4263508925456,105530000,0.33558018969566666,517962000,0.5194488877172001,464039000,0.669229418747,879405000
248,"(0, 0, 5, 25, 9, 7, 14)",0.4598379026268334,191544000,0.5427518800735,117403000,0.46876851041716666,129829000,0.4642129929714999,123208000,0.5031256189681667,366842000,0.5378415667031666,408606000,0.5427518800735,784309000
249,"(0, 2, 0, 28, 7, 9, 14)",0.38510932986499996,136468000,0.5639924292608001,107553000,0.3691612297676667,140346000,0.540480081938,127808000,0.39710563297866663,303942000,0.5663628225752,365822000,0.5639924292608001,703870000
250,"(0, 0, 1, 29, 4, 6, 20)",0.31520619280849993,160674000,0.4858700278833333,156086000,0.2663940469875,155029000,0.443746776348,141590000,0.31520619280849993,211838000,0.4858700278833333,316552000,0.4858700278833333,696858000
251,"(0, 0, 1, 29, 3, 9, 18)",0.42439904625825003,131705000,0.48038089271425,116899000,0.38847822050025,119657000,0.39022534406025,127193000,0.42446945555474996,250753000,0.48038089271425,355183000,0.48038089271425,941603000
252,"(0, 0, 2, 28, 6, 6, 18)",0.4617984136266,146615000,0.66996187816875,151116000,0.3321792920265,132179000,0.66529484326425,92095000,0.4437099789906,340762000,0.6798701475097501,326730000,0.66996187816875,899961000
253,"(0, 0, 4, 26, 9, 10, 11)",0.3700020551218333,161280000,0.583530390815,98600000,0.3540149205418333,133623000,0.48262195577940004,101723000,0.3700020551218333,411866000,0.5842791151093999,422168000,0.583530390815,754800000
254,"(0, 0, 2, 28, 10, 6, 14)",0.5393338558303999,150204000,0.43565291040433335,109641000,0.37148623769566663,131108000,0.535596319522,106355000,0.5443482961220001,427030000,0.43565291040433335,498518000,0.43565291040433335,904931000
255,"(0, 0, 6, 24, 11, 7, 12)",0.42176268635316666,129935000,0.6069133014825999,124193000,0.3189784474112857,128261000,0.5647619288218,110105000,0.3968507285654999,422337000,0.6069133014825999,331324000,0.6069133014825999,691945000
256,"(0, 1, 0, 29, 8, 13, 9)",0.4074706525916667,124961000,0.6092753268683999,114822000,0.5433097890748,122010000,0.542004804314,124803000,0.4104184313416667,295806000,0.6092753268683999,327430000,0.6092753268683999,749274000
257,"(0, 4, 2, 24, 9, 8, 13)",0.4008337909192857,128430000,0.5966290312018334,95814000,0.38699329791242854,138633000,0.5337722851008333,104127000,0.4037853959084285,359106000,0.7523004100258001,306728000,0.5966290312018334,883564000
258,"(0, 0, 2, 28, 6, 10, 14)",0.4092014562681999,145428000,0.45628089914459996,137765000,0.2846242958165,148536000,0.28848096836883336,143238000,0.41088823261060003,312292000,0.45659060927260003,442125000,0.45628089914459996,813946000
259,"(0, 1, 1, 28, 5, 7, 18)",0.31325498050239997,140758000,0.3830430321099999,109563000,0.3046236198692,137599000,0.3307770506716,151181000,0.31325498050239997,370793000,0.3830430321099999,428098000,0.3830430321099999,763866000
260,"(0, 2, 4, 24, 5, 12, 13)",0.45663268903000004,125222000,0.5311238628373334,114251000,0.34885765092057147,130769000,0.46259746165,119474000,0.47329645902699996,440837000,0.5391216101599999,506153000,0.5311238628373334,901920000
